_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP
5f43abe6517338000877a591,IRCTC,EQ,N,1350,1335.3,1342,1338.1,1338.45,1341.8,349571,468784435.9,1994,625,30704,INE335Y01012,2020-08-24,2020-08-23T18:30:00.000Z,2020-08-24T12:00:38.757Z,2020-08-24T12:00:38.757Z,0,1341.03,24-Aug-2020
5f3fb78327c1bc00089039ac,IRCTC,EQ,N,1358.9,1335.5,1350.1,1341.8,1342,1347.05,427626,577239101,1994,625,21742,INE335Y01012,2020-08-21,2020-08-20T18:30:00.000Z,2020-08-21T12:01:07.061Z,2020-08-21T12:01:07.061Z,0,1349.87,21-Aug-2020
5f3e65e1d840aa0008bc8456,IRCTC,EQ,N,1357.45,1332.25,1345,1347.05,1347.55,1361.8,610627,823181181.75,1994,625,34619,INE335Y01012,2020-08-20,2020-08-19T18:30:00.000Z,2020-08-20T12:00:33.577Z,2020-08-20T12:00:33.577Z,0,1348.09,20-Aug-2020
5f3d146617a2ec00084dc98e,IRCTC,EQ,N,1402,1338,1386,1361.8,1354.95,1377.65,1279857,1750639599.55,1994,625,58718,INE335Y01012,2020-08-19,2020-08-18T18:30:00.000Z,2020-08-19T12:00:38.649Z,2020-08-19T12:00:38.649Z,0,1367.84,19-Aug-2020
5f3bc2e7d70352000883041b,IRCTC,EQ,N,1389.9,1375,1380,1377.65,1378,1383.55,342010,472279700.55,1994,625,17845,INE335Y01012,2020-08-18,2020-08-17T18:30:00.000Z,2020-08-18T12:00:39.562Z,2020-08-18T12:00:39.562Z,0,1380.89,18-Aug-2020
5f3a718211c69a0008728226,IRCTC,EQ,N,1403.6,1360.3,1378,1383.55,1383.7,1368.6,870687,1202686998.4,1994,625,37604,INE335Y01012,2020-08-17,2020-08-16T18:30:00.000Z,2020-08-17T12:01:06.817Z,2020-08-17T12:01:06.817Z,0,1381.31,17-Aug-2020
5f367d013c2b740008c73c1b,IRCTC,EQ,N,1409.5,1350.05,1385.05,1368.6,1369.35,1384.1,986495,1368577600.8,1994,625,46541,INE335Y01012,2020-08-14,2020-08-13T18:30:00.000Z,2020-08-14T12:01:05.627Z,2020-08-14T12:01:05.627Z,0,1387.31,14-Aug-2020
5f352b6873d8800008a0809d,IRCTC,EQ,N,1411.9,1375.1,1398,1384.1,1386.4,1386.8,688942,962082855.95,1994,625,32981,INE335Y01012,2020-08-13,2020-08-12T18:30:00.000Z,2020-08-13T12:00:40.417Z,2020-08-13T12:00:40.417Z,0,1396.46,13-Aug-2020
5f33d9e5721ed80008e258fe,IRCTC,EQ,N,1414,1350,1350,1386.8,1385,1372.05,1764191,2457883335.15,1994,625,84243,INE335Y01012,2020-08-12,2020-08-11T18:30:00.000Z,2020-08-12T12:00:37.470Z,2020-08-12T12:00:37.470Z,0,1393.21,12-Aug-2020
5f32885fc4ae000008d86675,IRCTC,EQ,N,1384.3,1315.05,1324,1372.05,1375,1323.75,1109433,1508123786.2,1994,625,50729,INE335Y01012,2020-08-11,2020-08-10T18:30:00.000Z,2020-08-11T12:00:31.567Z,2020-08-11T12:00:31.567Z,0,1359.36,11-Aug-2020
5f313701c4ae000008d85813,IRCTC,EQ,N,1337,1320.45,1332,1323.75,1323,1331.35,307775,408009639.05,1994,625,21668,INE335Y01012,2020-08-10,2020-08-09T18:30:00.000Z,2020-08-10T12:01:05.969Z,2020-08-10T12:01:05.969Z,0,1325.68,10-Aug-2020
5f2d42668d49840008eec984,IRCTC,EQ,N,1339,1330,1335,1331.35,1331.15,1334.55,270307,360579633.7,1994,625,18159,INE335Y01012,2020-08-07,2020-08-06T18:30:00.000Z,2020-08-07T12:00:38.360Z,2020-08-07T12:00:38.360Z,0,1333.96,07-Aug-2020
5f2bf0e350193900082d5729,IRCTC,EQ,N,1347.05,1330.2,1337.5,1334.55,1334.9,1336.95,300335,401684544.35,1994,625,17121,INE335Y01012,2020-08-06,2020-08-05T18:30:00.000Z,2020-08-06T12:00:35.581Z,2020-08-06T12:00:35.581Z,0,1337.45,06-Aug-2020
5f2a9f82151477000842a0b3,IRCTC,EQ,N,1347,1335,1345,1336.95,1337.55,1339.8,221229,296614058.45,1994,625,13966,INE335Y01012,2020-08-05,2020-08-04T18:30:00.000Z,2020-08-05T12:01:06.154Z,2020-08-05T12:01:06.154Z,0,1340.76,05-Aug-2020
5f294e01151477000842972e,IRCTC,EQ,N,1347.9,1335.2,1336,1339.8,1339.95,1339.7,226477,303641952.1,1994,625,14791,INE335Y01012,2020-08-04,2020-08-03T18:30:00.000Z,2020-08-04T12:01:05.739Z,2020-08-04T12:01:05.739Z,0,1340.72,04-Aug-2020
5f27fc825b1a0f000868a7b2,IRCTC,EQ,N,1362,1334.2,1337,1339.7,1339.4,1335.85,293417,395072189.55,1994,625,16380,INE335Y01012,2020-08-03,2020-08-02T18:30:00.000Z,2020-08-03T12:01:06.037Z,2020-08-03T12:01:06.037Z,0,1346.45,03-Aug-2020
5f2408036648970008dbaac4,IRCTC,EQ,N,1346.7,1332.15,1345.8,1335.85,1337.95,1340.7,214884,287384353.2,1994,625,15227,INE335Y01012,2020-07-31,2020-07-30T18:30:00.000Z,2020-07-31T12:01:08.103Z,2020-07-31T12:01:08.103Z,0,1337.39,31-Jul-2020
5f22fc492789e000088005cd,IRCTC,EQ,N,1359.95,1340,1351,1340.7,1340.8,1352.75,261621,352249013.45,1994,625,18687,INE335Y01012,2020-07-30,2020-07-29T18:30:00.000Z,2020-07-30T16:58:49.813Z,2020-07-30T16:58:49.813Z,0,1346.41,30-Jul-2020
5f21658b071d1500088a0ecc,IRCTC,EQ,N,1369,1343.05,1345,1352.75,1351.8,1345.55,385496,522588698.4,1994,625,21592,INE335Y01012,2020-07-29,2020-07-28T18:30:00.000Z,2020-07-29T12:03:27.020Z,2020-07-29T12:03:27.020Z,0,1355.63,29-Jul-2020
5f214b2602e98e0008a39062,IRCTC,EQ,N,1354,1340,1345,1345.55,1345.95,1344.85,256364,345087618.65,1994,625,16084,INE335Y01012,2020-07-28,2020-07-27T18:30:00.000Z,2020-07-29T10:10:46.678Z,2020-07-29T10:10:46.678Z,0,1346.08,28-Jul-2020
5f1ec248ca27d10008e63ec9,IRCTC,EQ,N,1361.05,1342.05,1358,1344.85,1344.8,1357.85,320916,432369211.3,1994,625,22045,INE335Y01012,2020-07-27,2020-07-26T18:30:00.000Z,2020-07-27T12:02:16.282Z,2020-07-27T12:02:16.282Z,0,1347.3,27-Jul-2020
